coin,symbol,price,24h_volume,date,mkt_cap,,,
Bitcoin,BTC,40859.46,35390763321,2014-02-16 00:00:00 UTC,7.70991E+11,,,
Ethereum,ETH,2744.41,19748695312,2014-02-17 00:00:00 UTC,3.27104E+11,,,
Tether,USDT,1,57934969077,2014-02-18 00:00:00 UTC,79965155138,,,
BNB,BNB,383.43,1395853984,2014-02-19 00:00:00 UTC,64043816800,,,
USD Coin,USDC,0.999874,3872273611,2014-02-20 00:00:00 UTC,52222137400,,,
XRP,XRP,0.785018,3925204682,2014-02-21 00:00:00 UTC,37530785877,,,
Terra,LUNA,89.51,2661508267,2014-02-22 00:00:00 UTC,32945963147,,,
Solana,SOL,85.61,1776167313,2014-02-23 00:00:00 UTC,27535891424,,,
Cardano,ADA,0.824161,950718327,2014-02-24 00:00:00 UTC,26331888060,,,
Polkadot,DOT,18.55,762198942,2014-02-25 00:00:00 UTC,20175265447,,,
Avalanche,AVAX,73.69,866838890,2014-02-26 00:00:00 UTC,19563622731,,,
Binance USD,BUSD,1,4039490120,2014-02-27 00:00:00 UTC,17975175881,,,
Dogecoin,DOGE,0.11566,451839687,2014-02-28 00:00:00 UTC,15312260998,,,
TerraUSD,UST,1,742209053,2014-03-01 00:00:00 UTC,15025463384,,,
Shiba Inu,SHIB,2.24E-05,546344871,2014-03-02 00:00:00 UTC,12186102832,,,
Wrapped Bitcoin,WBTC,40820.44,443045583,2014-03-03 00:00:00 UTC,11077637101,,,
Cronos,CRO,0.401575,99233479,2014-03-04 00:00:00 UTC,10108572460,,,
Polygon,MATIC,1.44,665458992,2014-03-05 00:00:00 UTC,9860943646,,,
Dai,DAI,0.999429,311112491,2014-03-06 00:00:00 UTC,9375312310,,,
Cosmos Hub,ATOM,28.8,784802946,2014-03-07 00:00:00 UTC,8346059118,,,
Litecoin,LTC,109.44,735718470,2014-03-08 00:00:00 UTC,7629784997,,,
Lido Staked Ether,STETH,2745.31,20327033,2014-03-09 00:00:00 UTC,6972219575,,,
Near,NEAR,10.61,402450393,2014-03-10 00:00:00 UTC,6885969777,,,
Chainlink,LINK,14.41,720924698,2014-03-11 00:00:00 UTC,6696893329,,,
TRON,TRX,0.060751876,608305288,2014-03-12 00:00:00 UTC,6139215131,,,
FTX Token,FTT,42.37,91093038,2014-03-13 00:00:00 UTC,5803217982,,,
Bitcoin Cash,BCH,295.57,1378527955,2014-03-14 00:00:00 UTC,5613130722,,,
LEO Token,LEO,5.97,831673,2014-03-15 00:00:00 UTC,5547865232,,,
OKB,OKB,19.05,180398248,2014-03-16 00:00:00 UTC,4944831000,,,
Algorand,ALGO,0.731009,151572159,2014-03-17 00:00:00 UTC,4824820884,,,
Stellar,XLM,0.186969,257508818,2014-03-18 00:00:00 UTC,4584325546,,,
Uniswap,UNI,9.05,188489995,2014-03-19 00:00:00 UTC,4103226435,,,
Hedera,HBAR,0.200008,65559083,2014-03-20 00:00:00 UTC,3922919996,,,
Axie Infinity,AXS,50.46,288996469,2014-03-21 00:00:00 UTC,3733676299,,,
Decentraland,MANA,2.43,481292822,2014-03-22 00:00:00 UTC,3652548066,,,
Ethereum Classic,ETC,26.93,315618129,2014-03-23 00:00:00 UTC,3573077723,,,
Elrond,EGLD,162.55,318813970,2014-03-24 00:00:00 UTC,3550487729,,,
The Sandbox,SAND,3.08,989130040,2014-03-25 00:00:00 UTC,3486478110,,,
Internet Computer,ICP,16.26,158065484,2014-03-26 00:00:00 UTC,3447698400,,,
Monero,XMR,189.34,251596905,2014-03-27 00:00:00 UTC,3416516046,,,
cETH,CETH,53.71,1088.54,2014-03-28 00:00:00 UTC,3191011869,,,
VeChain,VET,0.047848055,283498801,2014-03-29 00:00:00 UTC,3172681612,,,
Fantom,FTM,1.22,1173101401,2014-03-30 00:00:00 UTC,3072929159,,,
Filecoin,FIL,17.27,264401106,2014-03-31 00:00:00 UTC,3052322720,,,
Osmosis,OSMO,9.39,94042665,2014-04-01 00:00:00 UTC,3040277019,,,
Klaytn,KLAY,1.1,57133059,2014-04-02 00:00:00 UTC,3034567731,,,
Frax,FRAX,0.998392,18194194,2014-04-03 00:00:00 UTC,2866968260,,,
Waves,WAVES,28.62,1508088374,2014-04-04 00:00:00 UTC,2862185867,,,
Theta Network,THETA,2.82,118835496,2014-04-05 00:00:00 UTC,2798708447,,,
Magic Internet Money,MIM,0.997676,44641451,2014-04-06 00:00:00 UTC,2784271477,,,
The Graph,GRT,0.440816,388652958,2014-04-07 00:00:00 UTC,2731591470,,,
Tezos,XTZ,3.05,114838106,2014-04-08 00:00:00 UTC,2665887669,,,
cUSDC,CUSDC,0.022533007,41.83,2014-04-09 00:00:00 UTC,2449140377,,,
